Rate Type,Date,Currency_From,Currency_From_Value,Currency_To,Currency_To_Value,Spot rate
Spot rate,21/03/2023,AUD,1,USD,0.6710499650382968,1.490202
Spot rate,21/03/2023,CAD,1,USD,0.7310887446694492,1.367823
Spot rate,21/03/2023,CHF,1,USD,1.0771613781633536,0.928366
Spot rate,21/03/2023,CNY,1,USD,0.14540327890210056,6.877424
Spot rate,21/03/2023,EUR,1,USD,1.0713256476431372,0.933423
Spot rate,21/03/2023,GBP,1,USD,1.225937903793297,0.815702
Spot rate,21/03/2023,HKD,1,USD,0.12751510798999466,7.842208
Spot rate,21/03/2023,JPY,1,USD,0.0076082940996431495,131.435508
Spot rate,21/03/2023,NZD,1,USD,0.6246736080397992,1.600836
Spot rate,21/03/2023,SGD,1,USD,0.7469520621105579,1.338774
Spot rate,21/03/2023,USD,1,USD,1.0,1.0
